Datetime,Open,High,Low,Close,Volume
2025-08-27,34.72999954223633,35.08000183105469,34.61000061035156,34.9900016784668,10084200
2025-08-28,35.40999984741211,35.52000045776367,35.22999954223633,35.52000045776367,21079100
2025-08-29,35.349998474121094,36.290000915527344,35.31999969482422,36.189998626708984,28952900
2025-09-02,36.630001068115234,37.16999816894531,36.43000030517578,37.150001525878906,35875300
2025-09-03,37.33000183105469,37.63999938964844,37.18000030517578,37.34000015258789,27291200
2025-09-04,37.20000076293945,37.220001220703125,36.630001068115234,36.93000030517578,45258500
2025-09-05,37.40999984741211,37.599998474121094,36.970001220703125,37.209999084472656,25435500
2025-09-08,37.56999969482422,37.83000183105469,37.36000061035156,37.5099983215332,25019700
2025-09-09,37.43000030517578,37.58000183105469,37.0099983215332,37.18000030517578,24001200
2025-09-10,37.349998474121094,37.4900016784668,37.2400016784668,37.40999984741211,17743600
2025-09-11,37.369998931884766,37.91999816894531,37.33000183105469,37.790000915527344,19051500
2025-09-12,38.2400016784668,38.45000076293945,38.150001525878906,38.34000015258789,19902300
2025-09-15,38.29999923706055,38.790000915527344,38.25,38.7599983215332,22225100
2025-09-16,39.0,39.0099983215332,38.34000015258789,38.599998474121094,25319700
2025-09-17,38.040000915527344,38.34000015258789,37.349998474121094,37.790000915527344,31045500
2025-09-18,37.849998474121094,38.0,37.61000061035156,37.9900016784668,13289200
2025-09-19,38.2599983215332,39.119998931884766,38.189998626708984,39.040000915527344,36776300
2025-09-22,39.5,40.04999923706055,39.34000015258789,40.040000915527344,32055400
2025-09-23,40.310001373291016,40.36000061035156,39.790000915527344,39.959999084472656,28492600
2025-09-24,40.130001068115234,40.15999984741211,39.63999938964844,39.81999969482422,31533200
2025-09-25,40.459999084472656,41.060001373291016,40.119998931884766,41.029998779296875,36395800
2025-09-26,41.22999954223633,42.33000183105469,41.09000015258789,41.86000061035156,44578500
2025-09-29,42.459999084472656,42.75,42.18000030517578,42.5,41290300
2025-09-30,41.790000915527344,42.459999084472656,41.70000076293945,42.369998931884766,34884200
2025-10-01,43.029998779296875,43.400001525878906,42.869998931884766,42.90999984741211,44341800
2025-10-02,43.56999969482422,43.59000015258789,41.65999984741211,42.529998779296875,58242300
2025-10-03,43.33000183105469,43.95000076293945,43.04999923706055,43.52000045776367,47523500
2025-10-06,44.0099983215332,44.2599983215332,43.88999938964844,44.060001373291016,34114000
2025-10-07,43.970001220703125,43.9900016784668,42.95000076293945,43.38999938964844,42769100
2025-10-08,44.43000030517578,45.0099983215332,44.279998779296875,44.560001373291016,59455700
2025-10-09,46.27000045776367,46.349998474121094,42.810001373291016,44.709999084472656,110701700
2025-10-10,45.47999954223633,46.0,44.880001068115234,45.43000030517578,67017000
2025-10-13,46.939998626708984,47.439998626708984,46.58000183105469,47.2599983215332,57830400
2025-10-14,45.9900016784668,47.2599983215332,45.77000045776367,46.79999923706055,57821500
2025-10-15,47.75,48.40999984741211,47.41999816894531,48.33000183105469,41672900
2025-10-16,48.099998474121094,49.25,48.0,49.16999816894531,48853000
2025-10-17,48.459999084472656,48.59000015258789,45.880001068115234,46.9900016784668,86492600
2025-10-20,47.7599983215332,47.83000183105469,47.060001373291016,47.720001220703125,35933500
2025-10-21,45.189998626708984,45.380001068115234,43.310001373291016,43.790000915527344,81395300
2025-10-22,43.7400016784668,44.130001068115234,43.279998779296875,43.880001068115234,43270000
2025-10-23,44.720001220703125,44.869998931884766,44.16999816894531,44.18000030517578,24565600
2025-10-24,44.08000183105469,44.38999938964844,43.84000015258789,43.9900016784668,24014000
2025-10-27,42.970001220703125,43.060001373291016,41.70000076293945,42.400001525878906,42914100
2025-10-28,42.36000061035156,42.90999984741211,42.22999954223633,42.70000076293945,27782000
2025-10-29,43.84000015258789,43.939998626708984,42.83000183105469,43.22999954223633,27351700
2025-10-30,43.68000030517578,44.439998626708984,43.540000915527344,44.34000015258789,30333200
2025-10-31,44.47999954223633,44.52000045776367,43.88999938964844,44.0099983215332,21310900
2025-11-03,44.25,44.36000061035156,43.560001373291016,43.7599983215332,17946700
2025-11-04,43.040000915527344,43.439998626708984,42.5099983215332,42.7400016784668,26679100
2025-11-05,43.4900016784668,43.790000915527344,43.349998474121094,43.650001525878906,16178500
2025-11-06,43.65999984741211,43.900001525878906,43.2400016784668,43.54999923706055,15957900
2025-11-07,44.02000045776367,44.22999954223633,43.5099983215332,43.91999816894531,16493100
2025-11-10,45.16999816894531,45.869998931884766,45.0099983215332,45.790000915527344,20763800
2025-11-11,46.279998779296875,46.47999954223633,45.599998474121094,46.45000076293945,19693700
2025-11-12,47.099998474121094,48.70000076293945,46.88999938964844,48.31999969482422,51559700
2025-11-13,48.290000915527344,48.41999816894531,47.209999084472656,47.41999816894531,39328400
2025-11-14,45.77000045776367,46.709999084472656,45.400001525878906,45.959999084472656,31793500
2025-11-17,45.810001373291016,46.2599983215332,44.95000076293945,45.470001220703125,23582000
2025-11-18,45.869998931884766,46.439998626708984,45.59000015258789,46.099998474121094,20909400
2025-11-19,46.79999923706055,47.5,45.689998626708984,46.45000076293945,30797100
2025-11-20,46.2599983215332,46.63999938964844,45.540000915527344,45.779998779296875,28460400
2025-11-21,44.900001525878906,45.95000076293945,44.7599983215332,45.29999923706055,26351900
2025-11-24,45.40999984741211,46.63999938964844,45.36000061035156,46.630001068115234,21486800
2025-11-25,46.54999923706055,46.77000045776367,45.970001220703125,46.66999816894531,24006600
2025-11-26,47.310001373291016,48.45000076293945,47.150001525878906,48.400001525878906,26232200
