entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,direction,pnl,pnl_percent,bars_held
263,264,263,264,2051.2258655160745,2048.017065587064,1,-7.308042860113776,-0.3562768480532553,1
264,281,264,281,2052.1171998525033,2050.734440899115,-1,-2.7200926873631435,-0.1325505525492721,17
281,283,281,283,2054.840015355369,2051.4919256736657,1,-7.454421622732221,-0.36277382020142507,2
283,284,283,284,2055.599016615955,2051.723321904617,-1,-0.23162762718264407,-0.011268132807533774,1
284,290,284,290,2055.830876102624,2054.189095000074,1,-5.751801073653038,-0.27977987588926145,6
290,292,290,292,2058.3015856807547,2054.0925080535567,-1,0.09668353346367375,0.004697248165005763,2
292,293,292,293,2058.204805366977,2053.708387911102,1,-8.60833064915304,-0.41824460941427927,1
293,300,293,300,2057.819916215228,2053.7937435030035,-1,-0.0854409474935256,-0.004152012856920435,7
300,301,300,301,2057.9054426891953,2054.5466571709694,1,-7.471237618086051,-0.36305057866618556,1
301,316,301,316,2058.659863691832,2052.8797888818162,-1,1.6685351574421272,0.08104957923694654,15
316,320,316,320,2056.989658329027,2053.930547817216,1,-7.170030717957257,-0.34856911841655797,4
320,353,320,353,2058.0425208859187,2063.8744628937216,-1,-9.953858991582448,-0.4836566247084946,33
353,355,353,355,2068.0063437003155,2063.369028692269,1,-8.768690380439281,-0.4240166093857009,2
355,366,355,366,2067.4998976185793,2064.081323215649,-1,-0.7130068179037119,-0.034486425790152576,11
366,373,366,373,2068.2136181570213,2065.3063269253385,1,-7.040811176765208,-0.3404295917478415,7
373,375,373,375,2069.4410743265903,2065.338481126082,-1,-0.032186354944491846,-0.0015553163288288118,2
375,379,375,379,2069.473292900108,2066.070848811846,1,-7.5379882299737,-0.3642467025708823,4
379,380,379,380,2070.2071267874453,2065.5419709092153,-1,0.5294067805333924,0.025572647957932966,1
380,390,380,390,2069.6771900701942,2069.3312802152086,1,-4.484918325271024,-0.21669651416117292,10
390,392,390,392,2073.4740855810046,2068.7175706173593,-1,0.6143233074468952,0.029627730180903453,2
392,393,392,393,2072.8591473353117,2069.7941794063154,1,-7.2076212557379655,-0.347713990359811,1
393,423,393,423,2073.9379114972185,2075.4260586510886,-1,-5.6375111240184665,-0.27182641740459007,30
423,429,423,429,2079.581065775515,2076.705994936052,1,-7.031357900174773,-0.3381141526960694,6
429,444,429,444,2080.8635644954834,2079.9458274392437,-1,-3.243072335694997,-0.1558522332280491,15
444,447,444,447,2084.1098831498325,2081.1755411898534,1,-7.099627384318751,-0.3406551373188003,3
447,448,447,448,2085.342058789833,2081.065312061935,-1,0.11033935704640285,0.005291187437634814,1
448,452,448,452,2085.2316089829797,2081.9130132077767,1,-7.48574039739375,-0.3589884387492445,4
452,474,452,474,2086.0810072282125,2086.256565024756,-1,-4.347895368796641,-0.20842409061447303,22
474,483,474,483,2090.4332548446255,2089.4335416774725,1,-5.179579963675102,-0.2477754289294485,9
483,484,483,484,2093.6165918109605,2088.8405686846213,-1,0.5935659658435872,0.02835122572897446,1
484,488,484,488,2093.022431684991,2089.775464985788,1,-7.429764595873637,-0.3549777815755321,4
488,489,488,489,2093.959199650424,2089.2716529481395,-1,0.5043158496860718,0.02408432073415111,1
489,490,489,490,2093.4543789800673,2089.721409440083,1,-7.916145328404575,-0.3781379430996403,1
490,491,490,491,2093.9050358854083,2089.8534219505514,-1,-0.1321445229790008,-0.006310912897877599,1
491,493,491,493,2094.037312685187,2090.354718200798,1,-7.866986515275014,-0.3756851163834882,2
493,515,493,515,2094.53961253153,2096.330652293777,-1,-5.98191002707209,-0.2855954593211133,22
515,516,515,516,2100.527510456527,2096.3618072409367,1,-8.362592533287847,-0.3981186864565429,1
516,517,516,517,2100.5587277759532,2095.866109727334,-1,0.49619321111606407,0.023621963268859784,1
517,520,517,520,2100.062037874936,2098.894168951673,1,-5.366825130089695,-0.25555555185028794,3
520,524,520,524,2103.096159279904,2098.573926731544,-1,0.32056246234863206,0.015242406341438617,4
524,526,524,526,2102.7752759342093,2100.194540139085,1,-6.783705611197678,-0.3226072556984888,2
526,545,526,545,2104.3991338130368,2103.738457253972,-1,-3.547461032002013,-0.16857358354706412,19
545,550,545,550,2107.9501458570826,2103.8306266483987,1,-8.33129998118935,-0.3952323064928029,5
550,551,550,551,2108.042499774822,2103.8833503971596,-1,-0.052776472509693306,-0.0025035772530834087,1
551,554,551,554,2108.0953290766333,2104.834474030022,1,-7.473784849717797,-0.354527840683153,3
554,555,554,555,2109.048356860913,2104.7652474670376,-1,0.0692957895473425,0.0032856425184333697,1
555,558,555,558,2108.9789917062108,2107.1092342785723,1,-6.085845653623216,-0.28856833935076953,3
558,561,558,561,2111.327671184035,2107.2148486102437,-1,-0.10571994600311552,-0.005007273264401809,3
561,562,561,562,2111.4334969558095,2108.035922815518,1,-7.617043560062781,-0.3607522363856009,1
562,642,562,642,2112.2562149532864,2135.6045462332577,-1,-27.596192041157806,-1.3064793866291506,80
642,644,642,644,2139.880030810301,2134.6456714313053,1,-9.508885081237185,-0.4443653356415728,2
644,651,644,651,2138.9192363390753,2135.413087827134,-1,-0.7681838122248905,-0.035914577753748955,7
651,656,651,656,2139.688189104065,2138.6906888892213,1,-5.2758790928367985,-0.24657233328216513,5
656,669,656,669,2142.9723519300405,2140.2205646389116,-1,-1.5314056254400041,-0.07146175376741391,13
669,673,669,673,2144.5052904940444,2141.386224927804,1,-7.4049570816622,-0.3452990820067536,4
673,675,673,675,2145.6732844371686,2141.5966001044953,-1,-0.21058555186839634,-0.009814427638904728,2
675,678,675,678,2145.884080785385,2143.0965914501903,1,-7.076470007430125,-0.32976944424883226,3
678,686,678,686,2147.387075116757,2143.729234079108,-1,-0.6332752715471424,-0.02949050401231041,8
686,687,686,687,2148.0209842974846,2144.7540009445447,1,-7.559758338181889,-0.3519406185249315,1
687,688,687,688,2149.0478027482372,2145.0082836707456,-1,-0.25453700892737885,-0.011844176225483342,1
688,689,688,689,2149.3025945489653,2145.0064764348795,1,-8.590427185069704,-0.39968440027275076,1
689,694,689,694,2149.300783695009,2145.7540354420757,-1,-0.7483065662036736,-0.03481627940958589,5
694,696,694,696,2150.0498393168346,2147.173597751785,1,-7.173465002118061,-0.3336418008057611,2
696,698,696,698,2151.47224359313,2147.6631918462735,-1,-0.49008368858309126,-0.02277899192250849,2
698,699,698,699,2151.9628178559756,2148.000666783471,1,-8.262114557144086,-0.3839338899626399,1
699,736,699,736,2152.3009684186727,2156.6080097397175,-1,-8.615950299203224,-0.40031345177219746,37
736,739,736,739,2160.92554329275,2156.7375905429803,1,-8.505615883605195,-0.39360985435178886,3
739,747,739,747,2161.0553835170404,2157.3399631726047,-1,-0.602975002254003,-0.027901876409695842,8
747,758,747,758,2161.658962097875,2160.5551779039974,1,-5.4259983338792175,-0.25101084070233376,11
758,770,758,770,2164.880613695597,2161.6265016721395,-1,-1.0723950919104261,-0.049535992198654115,12
770,775,770,775,2165.9540822560675,2163.21399713151,1,-7.069253203945059,-0.3263805665068252,5
775,776,775,776,2167.544755884526,2163.1229455759976,-1,0.09114260706764288,0.0042048777456707995,1
776,780,776,780,2167.453522043617,2163.626783233946,1,-8.157819114948605,-0.3763780414196324,4
780,807,780,807,2167.9583683855653,2170.3688366870138,-1,-6.748795506520997,-0.3112972834227757,27
807,809,807,809,2174.713919443144,2172.642109231246,1,-6.419166240572018,-0.29517290449935163,2
809,831,809,831,2176.991743083561,2177.855289167227,-1,-5.218393115917066,-0.23970661039465252,22
831,836,831,836,2182.2153598162104,2179.0753591868056,1,-7.501291348407784,-0.3437466111978771,5
836,850,836,850,2183.4378724184107,2180.730567487737,-1,-1.6568635092324762,-0.07588324495797573,14
850,853,850,853,2185.0963944496743,2182.530268520788,1,-6.933752591856784,-0.31732021568792523,3
853,858,853,858,2186.8996984877963,2183.932104614702,-1,-1.4032379300081965,-0.06416562821690046,5
858,859,858,859,2188.304341060377,2184.4457768629136,1,-8.231314315386529,-0.3761503443985272,1
859,861,859,861,2188.8190416814577,2183.893379153135,-1,0.5529501074882539,0.0252624861607324,2
861,863,861,863,2188.265538070358,2184.326011215986,1,-8.312118403658506,-0.37984962332259925,2
863,866,863,866,2188.699036263465,2183.573886257465,-1,0.7528770834793104,0.0343983832863845,3
866,871,866,871,2187.9454055492715,2186.1698961070365,1,-6.149624743891342,-0.281068473111536,5
871,873,871,873,2190.546612615759,2186.749202061823,-1,-0.5798852607415208,-0.02647217171284352,2
873,874,873,874,2191.1270783422265,2187.132090080847,1,-8.373247429802678,-0.38214339608900044,1
874,932,874,932,2191.5107329038315,2204.413745214096,-1,-17.298936788382257,-0.7893612624684953,58
932,943,932,943,2208.826985945255,2207.1524106908532,1,-6.0905546510376976,-0.27573706269399273,11
943,945,943,945,2211.5711342357795,2207.212690385367,-1,-0.06033997420850579,-0.0027283759167600367,2
945,946,945,946,2211.6315346103625,2207.7977566651643,1,-8.253207236473635,-0.3731727960701038,1
946,968,946,968,2212.2177721940234,2213.586549751093,-1,-5.79458187901485,-0.2619354184677725,22
968,971,968,971,2218.0181544552993,2214.149088493979,1,-8.30123320426958,-0.3742635373653286,3
971,972,971,972,2218.581819401875,2214.181387279831,-1,-0.03233108463806644,-0.001457286107518128,1
972,973,972,973,2218.614182849961,2214.5640998789336,1,-8.483261253756117,-0.3823675751887059,1
973,974,973,974,2218.997661640453,2214.5161502319493,-1,0.0479975966311903,0.002163030518730101,1
974,975,974,975,2218.949615998179,2214.483948778317,1,-8.899100784638595,-0.4010501509578168,1
975,976,975,976,2218.917350077172,2214.5946534948544,-1,-0.11081542125422317,-0.004994121175823384,1
976,979,976,979,2219.0282764247736,2216.0158863359834,1,-7.4474342515509555,-0.3356169153261093,3
979,980,979,980,2220.452354576896,2214.960596221549,-1,1.0563454045485283,0.04757343261030311,1
980,982,980,982,2219.39495176954,2215.5108675109996,1,-8.318990077821038,-0.37483144093791176,2
982,983,982,983,2219.9463247032136,2215.123664049779,-1,0.3875906646814755,0.017459461085541916,1
983,987,983,987,2219.5583460598887,2217.08636915339,1,-6.9086216217119185,-0.3112610954326095,4
987,989,987,989,2221.524980503046,2216.7754562682762,-1,0.3112237979986565,0.014009466502968713,2
989,994,989,994,2221.213445169714,2218.8611761647853,1,-6.79234362626303,-0.3057942783947112,5
994,999,994,999,2223.3033406816317,2220.844288809779,-1,-1.9850957576386028,-0.0892858712221429,5
